class_map,axis,bin,class_code,class_name,pixel_count,area_km2,percent_of_class
midday_afternoon,north_south,north,1,stable_core,176,0.8623999999999999,12.846715328467154
midday_afternoon,north_south,south,1,stable_core,170,0.833,12.408759124087592
midday_afternoon,north_south,middle_north,2,coherent_june_activation,27,0.1323,14.43850267379679
midday_afternoon,north_south,middle_south,2,coherent_june_activation,95,0.46549999999999997,50.80213903743316
midday_afternoon,north_south,north,2,coherent_june_activation,7,0.0343,3.7433155080213902
midday_afternoon,north_south,south,2,coherent_june_activation,58,0.2842,31.016042780748666
midday_afternoon,north_south,middle_south,3,strong_june_activation,6,0.0294,25.0
midday_afternoon,north_south,south,3,strong_june_activation,18,0.0882,75.0
midday_afternoon,north_south,middle_north,4,esi_watch_zone_exploratory,611,2.9939,27.460674157303373
midday_afternoon,north_south,middle_south,4,esi_watch_zone_exploratory,618,3.0282,27.775280898876403
midday_afternoon,north_south,north,4,esi_watch_zone_exploratory,188,0.9212,8.44943820224719
midday_afternoon,north_south,south,4,esi_watch_zone_exploratory,808,3.9592,36.31460674157304
midday_afternoon,north_south,middle_north,5,demand_efficiency_watch_exploratory,1837,9.0013,17.748792270531403
midday_afternoon,north_south,middle_south,5,demand_efficiency_watch_exploratory,5685,27.8565,54.927536231884055
midday_afternoon,north_south,north,5,demand_efficiency_watch_exploratory,721,3.5328999999999997,6.966183574879227
midday_afternoon,north_south,south,5,demand_efficiency_watch_exploratory,2107,10.3243,20.357487922705314
midday_afternoon,north_south,middle_north,6,efficient_activation_support,372,1.8228,38.07574206755373
midday_afternoon,north_south,middle_south,6,efficient_activation_support,302,1.4798,30.91095189355169
midday_afternoon,north_south,north,6,efficient_activation_support,77,0.37729999999999997,7.881269191402252
midday_afternoon,north_south,south,6,efficient_activation_support,226,1.1074,23.132036847492323
midday_afternoon,north_south,middle_north,7,product_disagreement_zone,5016,24.5784,27.969220475075275
midday_afternoon,north_south,middle_south,7,product_disagreement_zone,8972,43.9628,50.0278800044608
midday_afternoon,north_south,north,7,product_disagreement_zone,1432,7.0168,7.984833277573325
midday_afternoon,north_south,south,7,product_disagreement_zone,2514,12.3186,14.018066242890598
midday_afternoon,north_south,middle_north,8,high_variability_zone,551,2.6999,28.140960163432073
midday_afternoon,north_south,middle_south,8,high_variability_zone,847,4.1503,43.258426966292134
midday_afternoon,north_south,north,8,high_variability_zone,248,1.2152,12.665985699693566
midday_afternoon,north_south,south,8,high_variability_zone,312,1.5288,15.934627170582228
midday_afternoon,west_east,east,0,unclassified_or_no_data,117,0.5733,18.28125
midday_afternoon,west_east,middle_east,0,unclassified_or_no_data,61,0.2989,9.53125
midday_afternoon,west_east,middle_west,0,unclassified_or_no_data,319,1.5631,49.84375
midday_afternoon,west_east,west,0,unclassified_or_no_data,143,0.7007,22.34375
midday_afternoon,west_east,east,1,stable_core,309,1.5141,22.554744525547445
midday_afternoon,west_east,middle_east,1,stable_core,364,1.7835999999999999,26.56934306569343
midday_afternoon,west_east,middle_west,1,stable_core,403,1.9747,29.416058394160583
midday_afternoon,west_east,west,1,stable_core,294,1.4405999999999999,21.45985401459854
midday_afternoon,west_east,east,2,coherent_june_activation,9,0.0441,4.81283422459893
midday_afternoon,west_east,middle_east,2,coherent_june_activation,30,0.147,16.0427807486631
midday_afternoon,west_east,middle_west,2,coherent_june_activation,88,0.43119999999999997,47.05882352941176
midday_afternoon,west_east,west,2,coherent_june_activation,60,0.294,32.0855614973262
midday_afternoon,west_east,middle_east,3,strong_june_activation,3,0.0147,12.5
midday_afternoon,west_east,middle_west,3,strong_june_activation,3,0.0147,12.5
midday_afternoon,west_east,west,3,strong_june_activation,18,0.0882,75.0
midday_afternoon,west_east,east,4,esi_watch_zone_exploratory,628,3.0772,28.224719101123597
midday_afternoon,west_east,middle_east,4,esi_watch_zone_exploratory,190,0.9309999999999999,8.539325842696629
