zone,pixel_count,area_km2,percent_of_valid_june_aoi,mean_ndvi_june_slope,mean_et_june_slope,mean_esi_june_slope,mean_pet_june_slope,mean_wue_june_slope,mean_ndvi_june_cv,mean_et_june_cv,mean_esi_june_cv,mean_pet_june_cv,mean_wue_june_cv,mean_ndvi_activation_consistency,mean_et_activation_consistency,mean_esi_activation_consistency,mean_ndvi_activation,mean_et_activation,mean_esi_shift,mean_pet_demand_shift,mean_wue_efficiency_shift
stable_core,1952,9.5648,5.617104543754136,0.004354817792773247,0.13689209520816803,0.0069208163768053055,12.087357521057129,-0.00702093169093132,0.12541113793849945,0.16851584613323212,0.0848761722445488,0.22747571766376495,0.47765910625457764,0.7664666175842285,1.0,0.9035176634788513,0.06716533750295639,1.8271515369415283,0.2637912631034851,,
coherent_june_activation,9906,48.5394,28.50565451353918,0.00869396235793829,0.18123413622379303,0.01632772572338581,13.256342887878418,-0.06787944585084915,0.2063312828540802,0.23408371210098267,0.10970985889434814,0.2554507851600647,0.5476135611534119,0.7210637331008911,0.9999423027038574,0.8896098732948303,0.057884249836206436,1.7484005689620972,0.21926353871822357,,
strong_june_activation,2028,9.937199999999999,5.835803286236367,0.018761293962597847,0.2376788705587387,-0.0007551144226454198,17.359691619873047,0.006380721461027861,0.3107517659664154,0.2507685720920563,0.10663211345672607,0.25678741931915283,0.6313352584838867,0.8337559700012207,1.0,0.8578941822052002,0.10177332162857056,1.5821696519851685,0.2113085240125656,,
watch_zone_exploratory,16483,80.7667,47.43172858335012,0.010693992488086224,0.1018371433019638,-0.02000393532216549,10.96576976776123,0.10554160177707672,0.4285355508327484,0.20725765824317932,0.1528680920600891,0.22703935205936432,0.7507773041725159,0.8818522691726685,0.9997400045394897,0.8739711046218872,0.09503967314958572,1.2721434831619263,0.2773451805114746,,
demand_efficiency_watch_exploratory,10099,49.485099999999996,29.061034214842742,0.009165799245238304,0.16707447171211243,0.006408680230379105,13.14908504486084,-0.1303926408290863,0.23836281895637512,0.22783491015434265,0.11685296893119812,0.24710407853126526,0.5763577222824097,0.7725799679756165,1.0,0.8895693421363831,0.07123786211013794,1.657082200050354,0.23410214483737946,,
efficient_activation_support,16172,79.2428,46.53679030819257,0.010470326989889145,0.11003666371107101,-0.014573934487998486,11.10024642944336,0.14877960085868835,0.4129248857498169,0.21041744947433472,0.1490349918603897,0.23163416981697083,0.7357220649719238,0.8537507057189941,0.9996997117996216,0.8732435703277588,0.08773747086524963,1.320959448814392,0.2688281834125519,,
demand_increase_support,33431,163.8119,96.20154815688757,0.007915345020592213,0.11936325579881668,-0.005273645278066397,11.141453742980957,0.027115438133478165,0.3329611122608185,0.21692125499248505,0.13977213203907013,0.23809359967708588,0.6647831797599792,0.8142485022544861,0.9998247027397156,0.8824102282524109,0.07912802696228027,1.4678857326507568,0.2576741874217987,,
product_disagreement_zone,24439,119.7511,70.32603378320049,0.007618924602866173,0.088737852871418,-0.014268526807427406,9.681561470031738,0.06552857905626297,0.38612231612205505,0.21309365332126617,0.1531471312046051,0.23362033069133759,0.7106601595878601,0.8477901220321655,0.9993569850921631,0.8814345598220825,0.08637407422065735,1.3474109172821045,0.27768197655677795,,
high_variability_zone,18759,91.9191,53.9811803976864,0.009278562851250172,0.08427686244249344,-0.014723852276802063,9.276971817016602,0.06515040993690491,0.44861337542533875,0.23804162442684174,0.16852246224880219,0.24128642678260803,0.7716289162635803,0.8413941860198975,0.9989262223243713,0.8756913542747498,0.08594302833080292,1.2715725898742676,0.26738354563713074,,
seasonal_activation_zone,27953,136.9697,80.437973007971,0.008471484296023846,0.10233461111783981,-0.009153938852250576,10.440444946289062,0.04843861237168312,0.35096055269241333,0.21713446080684662,0.1425933539867401,0.23475293815135956,0.6695464253425598,0.9088928699493408,0.9994224905967712,0.8731867074966431,0.10610589385032654,1.3933794498443604,0.2614469528198242,,
seasonal_activation_with_esi_support,27776,136.1024,79.92863514719001,0.008469155058264732,0.10234985500574112,-0.009172515012323856,10.430488586425781,0.04866565018892288,0.34988078474998474,0.21679523587226868,0.14159926772117615,0.23483622074127197,0.66755610704422,0.9086312651634216,0.9995062351226807,0.8763388991355896,0.10582690685987473,1.3953138589859009,0.2633351981639862,,
low_support_zone,0,0.0,0.0,,,,,,,,,,,,,,,,,,
