source_type,product,record_id,path,filename,date,year,month,time_bin,coverage_percent,count,read_ok_bool,passes_coverage_filter,tiny_footprint_flag,footprint_fraction_of_full_aoi,usable_record,epsg,crs,aoi_footprint_pixel_count,full_product_aoi_pixel_count,mean,median,min,max,std
raster,esi,ECO_L4T_ESI.002_ESI_20210613T100603_aid0001_32N.tif,data/ESI/ECO_L4T_ESI.002_ESI_20210613T100603_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20210613T100603_aid0001_32N.tif,2021-06-13,2021,6,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.6927999258041382,0.9999999403953552,0.0592677593231201,1.0,0.4136205911636352
raster,esi,ECO_L4T_ESI.002_ESI_20220207T105502_aid0001_32N.tif,data/ESI/ECO_L4T_ESI.002_ESI_20220207T105502_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20220207T105502_aid0001_32N.tif,2022-02-07,2022,2,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.7090891599655151,0.9999999403953552,0.0,1.0,0.3980967998504638
raster,esi,ECO_L4T_ESI.002_ESI_20220211T091942_aid0001_32N.tif,data/ESI/ECO_L4T_ESI.002_ESI_20220211T091942_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20220211T091942_aid0001_32N.tif,2022-02-11,2022,2,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.5310061573982239,0.3695273995399475,0.0,1.0,0.4391456246376037
raster,esi,ECO_L4T_ESI.002_ESI_20220406T164256_aid0001_32N.tif,data/ESI/ECO_L4T_ESI.002_ESI_20220406T164256_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20220406T164256_aid0001_32N.tif,2022-04-06,2022,4,evening,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.8121389746665955,0.8472654819488525,0.4431241154670715,1.0,0.174504205584526
raster,esi,ECO_L4T_ESI.002_ESI_20230209T093133_aid0001_32N.tif,data/ESI/ECO_L4T_ESI.002_ESI_20230209T093133_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20230209T093133_aid0001_32N.tif,2023-02-09,2023,2,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.6101698279380798,0.8938724994659424,0.0,1.0,0.4088169932365417
raster,esi,ECO_L4T_ESI.002_ESI_20230623T092314_aid0001_32N.tif,data/ESI/ECO_L4T_ESI.002_ESI_20230623T092314_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20230623T092314_aid0001_32N.tif,2023-06-23,2023,6,midday_afternoon,98.93617021276596,93.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.663087010383606,0.782233715057373,0.341074138879776,1.0,0.2221572548151016
raster,esi,ECO_L4T_ESI.002_ESI_20250428T054918_aid0001_32N.tif,data/ESI/ECO_L4T_ESI.002_ESI_20250428T054918_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20250428T054918_aid0001_32N.tif,2025-04-28,2025,4,morning,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.8574787974357605,1.0,0.5573319792747498,1.0,0.1955220401287078
raster,et,ECO_L3T_JET.002_ETdaily_20190215T140410_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20190215T140410_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20190215T140410_aid0001_32N.tif,2019-02-15,2019,2,evening,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.1484172791242599,0.137616217136383,0.0,0.3904381394386291,0.139700099825859
raster,et,ECO_L3T_JET.002_ETdaily_20190217T090743_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20190217T090743_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20190217T090743_aid0001_32N.tif,2019-02-17,2019,2,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.1057607159018516,0.0860195532441139,0.0,0.4063497483730316,0.1003255695104599
raster,et,ECO_L3T_JET.002_ETdaily_20190221T120841_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20190221T120841_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20190221T120841_aid0001_32N.tif,2019-02-21,2019,2,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.199005514383316,0.189337819814682,0.0,0.4857476949691772,0.1473929584026336
raster,et,ECO_L3T_JET.002_ETdaily_20190614T144037_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20190614T144037_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20190614T144037_aid0001_32N.tif,2019-06-14,2019,6,evening,53.191489361702125,50.0,True,False,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,1.7489961385726929,1.907215595245361,1.0405189990997314,2.5346693992614746,0.4855944514274597
raster,et,ECO_L3T_JET.002_ETdaily_20200330T154618_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20200330T154618_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20200330T154618_aid0001_32N.tif,2020-03-30,2020,3,evening,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.1726349294185638,0.1596557050943374,0.1182801946997642,0.3012883961200714,0.0394072532653808
raster,et,ECO_L3T_JET.002_ETdaily_20200331T145901_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20200331T145901_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20200331T145901_aid0001_32N.tif,2020-03-31,2020,3,evening,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.3941457271575928,0.3730469346046448,0.2545846104621887,0.7787896990776062,0.0979503095149993
raster,et,ECO_L3T_JET.002_ETdaily_20200407T124205_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20200407T124205_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20200407T124205_aid0001_32N.tif,2020-04-07,2020,4,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.6637150645256042,0.7395495176315308,0.0,1.5289087295532229,0.3664619326591491
raster,et,ECO_L3T_JET.002_ETdaily_20200627T083636_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20200627T083636_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20200627T083636_aid0001_32N.tif,2020-06-27,2020,6,morning,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,2.508640766143799,2.408566951751709,1.6710916757583618,3.4182205200195312,0.3956384062767029
raster,et,ECO_L3T_JET.002_ETdaily_20210131T135337_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20210131T135337_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20210131T135337_aid0001_32N.tif,2021-01-31,2021,1,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.1296856999397277,0.150091290473938,0.0,0.1647800505161285,0.0541082099080085
raster,et,ECO_L3T_JET.002_ETdaily_20210207T113525_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20210207T113525_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20210207T113525_aid0001_32N.tif,2021-02-07,2021,2,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.1531353443861007,0.1209023222327232,0.0613976530730724,0.4333271086215973,0.10810087621212
raster,et,ECO_L3T_JET.002_ETdaily_20210425T092913_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20210425T092913_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20210425T092913_aid0001_32N.tif,2021-04-25,2021,4,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.8656758069992065,0.8286173343658447,0.5870654582977295,1.154512643814087,0.1296489536762237
raster,et,ECO_L3T_JET.002_ETdaily_20210613T100603_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20210613T100603_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20210613T100603_aid0001_32N.tif,2021-06-13,2021,6,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,2.3097290992736816,2.297823667526245,0.3505140244960785,4.443583488464356,0.6918919682502747
raster,et,ECO_L3T_JET.002_ETdaily_20220207T105502_aid0001_32N.tif,data/ET/ECO_L3T_JET.002_ETdaily_20220207T105502_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20220207T105502_aid0001_32N.tif,2022-02-07,2022,2,midday_afternoon,100.0,94.0,True,True,True,0.002704958130701275,False,32632.0,EPSG:32632,94.0,34751.0,0.0485419929027557,0.0480369254946708,0.0,0.112491674721241,0.0354539901018142
