product,source_type,year,month,month_label,total_records,usable_records,min_required_usable_records,usable_daytime_records,usable_midday_afternoon_records,mean_coverage_percent,min_coverage_percent,median_coverage_percent,tiny_footprint_records,status,total_morning,total_midday_afternoon,total_evening,total_night,total_unknown,usable_morning,usable_midday_afternoon,usable_evening,usable_night,usable_unknown
et,raster,2024,6,June,2,1,3,1,1,55.95666311760812,12.64999568357745,55.95666311760812,0,low_observation_count,0,2,0,0,0,0,1,0,0,0
et,raster,2025,1,January,2,2,3,0,0,100.0,100.0,100.0,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
et,raster,2025,3,March,1,1,3,1,1,93.55701994187216,93.55701994187216,93.55701994187216,0,low_observation_count,0,1,0,0,0,0,1,0,0,0
et,raster,2025,5,May,3,2,3,2,2,66.49880578976143,0.0057552300653218,99.490662139219,0,low_observation_count,0,2,1,0,0,0,2,0,0,0
ndvi,raster,2019,1,January,2,2,5,0,0,99.96834623464073,99.94532531437945,99.96834623464073,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
ndvi,,2019,3,March,0,0,5,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
ndvi,,2019,4,April,0,0,5,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
ndvi,,2019,5,May,0,0,5,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
ndvi,raster,2020,1,January,4,2,5,0,0,99.97841788725503,99.91367154902017,100.0,2,low_observation_count,0,0,4,0,0,0,0,2,0,0
ndvi,raster,2020,5,May,4,2,5,2,0,99.95683577451008,99.82734309804034,100.0,2,low_observation_count,4,0,0,0,0,2,0,0,0,0
ndvi,raster,2022,1,January,3,1,5,0,0,99.62303243072142,98.86909729216426,100.0,2,low_observation_count,0,1,2,0,0,0,0,1,0,0
ndvi,raster,2022,3,March,3,3,5,0,0,99.74868828714762,99.6834623464073,99.6978504215706,0,low_observation_count,0,0,3,0,0,0,0,3,0,0
ndvi,raster,2024,1,January,6,4,5,0,0,99.65084937603713,99.34678138758596,99.60576674052544,2,low_observation_count,0,2,4,0,0,0,0,4,0,0
ndvi,raster,2024,3,March,6,4,5,0,0,99.944845711874,99.6978504215706,99.99136715490202,2,low_observation_count,0,0,2,4,0,0,0,1,3,0
ndvi,raster,2024,5,May,4,4,5,0,0,99.97985669477137,99.95971338954274,99.97985669477137,0,low_observation_count,0,0,2,2,0,0,0,2,2,0
ndvi,raster,2025,3,March,5,4,5,3,3,99.79396276366148,99.2345544013122,99.88777301372622,1,low_observation_count,0,3,0,2,0,0,3,0,1,0
pet,statistics_csv,2019,1,January,1,1,3,0,0,99.8149,99.8149,99.8149,0,low_observation_count,0,0,1,0,0,0,0,1,0,0
pet,,2019,3,March,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,,2019,4,April,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,,2019,5,May,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,statistics_csv,2020,1,January,1,1,3,0,0,100.0,100.0,100.0,0,low_observation_count,0,0,1,0,0,0,0,1,0,0
pet,statistics_csv,2020,2,February,3,2,3,2,2,82.0431,49.4126,96.7167,0,low_observation_count,0,3,0,0,0,0,2,0,0,0
pet,statistics_csv,2020,3,March,3,1,3,0,0,28.611633333333327,0.3337,0.3337,0,low_observation_count,0,0,3,0,0,0,0,1,0,0
pet,statistics_csv,2020,5,May,1,1,3,1,0,100.0,100.0,100.0,0,low_observation_count,1,0,0,0,0,1,0,0,0,0
pet,statistics_csv,2021,1,January,3,0,3,0,0,8.431233333333333,0.3337,3.7740000000000005,0,no_usable_records,0,1,2,0,0,0,0,0,0,0
pet,statistics_csv,2021,3,March,5,5,3,2,0,97.4384,87.8677,99.7869,0,time_bin_limited,2,0,3,0,0,2,0,3,0,0
pet,statistics_csv,2022,1,January,2,1,3,0,0,50.4458,0.8916000000000001,50.4458,0,low_observation_count,0,0,2,0,0,0,0,1,0,0
pet,statistics_csv,2022,3,March,2,2,3,0,0,91.12575000000001,82.8824,91.12575000000001,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
pet,statistics_csv,2022,5,May,5,2,3,1,0,64.20356000000001,28.6051,63.8189,0,low_observation_count,1,0,4,0,0,1,0,1,0,0
pet,statistics_csv,2023,1,January,3,3,3,1,1,99.07846666666667,97.2354,100.0,0,time_bin_limited,0,1,2,0,0,0,1,2,0,0
pet,statistics_csv,2023,3,March,6,4,3,1,1,59.09811666666667,4.5423,80.7234,0,time_bin_limited,1,1,4,0,0,0,1,3,0,0
pet,statistics_csv,2023,5,May,3,2,3,1,0,63.00946666666666,16.554,84.2815,0,low_observation_count,2,0,1,0,0,1,0,1,0,0
pet,,2024,1,January,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,statistics_csv,2024,2,February,2,2,3,2,2,92.30340000000001,84.6068,92.30340000000001,0,low_observation_count,0,2,0,0,0,0,2,0,0,0
pet,,2024,3,March,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,,2024,4,April,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,,2024,5,May,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
