product,source_type,year,month,month_label,total_records,usable_records,min_required_usable_records,usable_daytime_records,usable_midday_afternoon_records,mean_coverage_percent,min_coverage_percent,median_coverage_percent,tiny_footprint_records,status,total_morning,total_midday_afternoon,total_evening,total_night,total_unknown,usable_morning,usable_midday_afternoon,usable_evening,usable_night,usable_unknown
ndvi,raster,2021,2,February,41,35,5,33,29,99.94385141399685,99.52231590457828,100.0,6,usable,4,35,2,0,0,4,29,2,0,0
ndvi,raster,2021,3,March,7,6,5,2,0,99.95395815947742,99.79856694771372,99.98273430980404,1,usable,2,0,5,0,0,2,0,4,0,0
ndvi,raster,2021,4,April,52,36,5,32,16,99.99540688369787,99.9107939339875,100.0,16,usable,24,22,6,0,0,16,16,4,0,0
ndvi,raster,2021,5,May,26,24,5,10,0,99.97653636973368,99.87914016862824,100.0,2,usable,10,0,16,0,0,10,0,14,0,0
ndvi,raster,2021,6,June,46,32,5,24,10,99.98154572968187,99.81295502287703,100.0,14,usable,22,16,8,0,0,14,10,8,0,0
ndvi,raster,2022,1,January,3,1,5,0,0,99.62303243072142,98.86909729216426,100.0,2,low_observation_count,0,1,2,0,0,0,0,1,0,0
ndvi,raster,2022,2,February,19,17,5,14,11,99.73177598827145,99.499294984317,99.68921757647264,2,usable,3,12,4,0,0,3,11,3,0,0
ndvi,raster,2022,3,March,3,3,5,0,0,99.74868828714762,99.6834623464073,99.6978504215706,0,low_observation_count,0,0,3,0,0,0,0,3,0,0
ndvi,raster,2022,4,April,60,42,5,36,22,99.88283310792015,98.12667261373772,100.0,18,usable,24,24,12,0,0,14,22,6,0,0
ndvi,raster,2022,5,May,22,12,5,4,0,99.4898773351192,97.91948433138614,100.0,10,usable,8,0,14,0,0,4,0,8,0,0
ndvi,raster,2022,6,June,54,44,5,36,24,99.93472077009243,99.08779603464647,100.0,10,usable,18,26,10,0,0,12,24,8,0,0
ndvi,raster,2023,1,January,15,12,5,2,1,99.86283368344316,99.41296653333715,99.9482029294121,3,usable,1,2,5,7,0,1,1,3,7,0
ndvi,raster,2023,2,February,22,20,5,19,11,99.5799990059148,99.2431872464102,99.51224425196398,2,usable,8,13,1,0,0,8,11,1,0,0
ndvi,raster,2023,3,March,8,8,5,2,1,99.93057753733706,99.89352824379154,99.91223274150386,0,usable,1,1,6,0,0,1,1,6,0,0
ndvi,raster,2023,4,April,66,50,5,44,22,99.93342245219888,98.81154499151104,100.0,16,usable,32,26,8,0,0,22,22,6,0,0
ndvi,raster,2023,5,May,12,8,5,4,0,99.99712238496734,99.96546861960806,100.0,4,usable,6,0,6,0,0,4,0,4,0,0
ndvi,raster,2023,6,June,60,48,5,38,16,99.90316825415094,99.13671549020172,100.0,12,usable,26,24,8,2,0,22,16,8,2,0
ndvi,raster,2024,1,January,6,4,5,0,0,99.65084937603713,99.34678138758596,99.60576674052544,2,low_observation_count,0,2,4,0,0,0,0,4,0,0
ndvi,raster,2024,2,February,12,6,5,5,4,99.88825261623167,99.34678138758596,100.0,6,usable,2,8,1,1,0,1,4,0,1,0
ndvi,raster,2024,3,March,6,4,5,0,0,99.944845711874,99.6978504215706,99.99136715490202,2,low_observation_count,0,0,2,4,0,0,0,1,3,0
ndvi,raster,2024,4,April,16,10,5,10,8,99.99496417369284,99.97697907973873,100.0,6,usable,4,12,0,0,0,2,8,0,0,0
ndvi,raster,2024,5,May,4,4,5,0,0,99.97985669477137,99.95971338954274,99.97985669477137,0,low_observation_count,0,0,2,2,0,0,0,2,2,0
ndvi,raster,2024,6,June,24,18,5,14,8,99.98968854613297,99.8676297084976,100.0,6,usable,12,8,0,4,0,6,8,0,4,0
ndvi,raster,2025,1,January,15,12,5,2,2,99.62437531773665,97.15403873269834,99.87050732353026,3,usable,0,2,7,6,0,0,2,4,6,0
ndvi,raster,2025,2,February,20,14,5,14,8,99.91626140254955,99.67482950130932,99.93093723921614,6,usable,10,10,0,0,0,6,8,0,0,0
ndvi,raster,2025,3,March,5,4,5,3,3,99.79396276366148,99.2345544013122,99.88777301372622,1,low_observation_count,0,3,0,2,0,0,3,0,1,0
ndvi,raster,2025,4,April,26,22,5,20,8,99.90227176639078,99.08779603464647,100.0,4,usable,14,10,2,0,0,12,8,2,0,0
ndvi,raster,2025,5,May,10,8,5,4,4,99.99942447699347,99.99712238496734,100.0,2,usable,0,4,6,0,0,0,4,4,0,0
ndvi,raster,2025,6,June,34,30,5,28,12,99.91925750761298,99.27196339673678,100.0,4,usable,18,14,2,0,0,16,12,2,0,0
pet,statistics_csv,2019,1,January,1,1,3,0,0,99.8149,99.8149,99.8149,0,low_observation_count,0,0,1,0,0,0,0,1,0,0
pet,statistics_csv,2019,2,February,14,10,3,8,6,72.37127857142858,0.3337,99.75885,0,usable,2,9,3,0,0,2,6,2,0,0
pet,,2019,3,March,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,,2019,4,April,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,,2019,5,May,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
pet,statistics_csv,2019,6,June,14,7,3,7,4,58.526764285714286,0.1879,65.26145,0,usable,4,7,3,0,0,3,4,0,0,0
pet,statistics_csv,2020,1,January,1,1,3,0,0,100.0,100.0,100.0,0,low_observation_count,0,0,1,0,0,0,0,1,0,0
pet,statistics_csv,2020,2,February,3,2,3,2,2,82.0431,49.4126,96.7167,0,low_observation_count,0,3,0,0,0,0,2,0,0,0
pet,statistics_csv,2020,3,March,3,1,3,0,0,28.611633333333327,0.3337,0.3337,0,low_observation_count,0,0,3,0,0,0,0,1,0,0
pet,statistics_csv,2020,4,April,14,11,3,9,4,76.99145,0.3337,100.0,0,usable,5,7,2,0,0,5,4,2,0,0
pet,statistics_csv,2020,5,May,1,1,3,1,0,100.0,100.0,100.0,0,low_observation_count,1,0,0,0,0,1,0,0,0,0
pet,statistics_csv,2020,6,June,15,5,3,5,2,44.87218666666667,0.3337,35.2418,0,usable,5,8,2,0,0,3,2,0,0,0
pet,statistics_csv,2021,1,January,3,0,3,0,0,8.431233333333333,0.3337,3.7740000000000005,0,no_usable_records,0,1,2,0,0,0,0,0,0,0
pet,statistics_csv,2021,2,February,15,14,3,13,10,93.25968666666668,0.3337,100.0,0,usable,3,11,1,0,0,3,10,1,0,0
