product,source_type,year,month,time_bin,total_records,usable_records,mean_coverage_percent,min_coverage_percent
et,raster,2021,1,evening,2,0,12.117636902535178,3.539466490172945
et,raster,2021,1,midday_afternoon,1,0,100.0,100.0
et,raster,2021,2,evening,1,1,100.0,100.0
et,raster,2021,2,midday_afternoon,11,10,99.99869199316696,99.98561192483668
et,raster,2021,2,morning,3,3,99.52327510958918,98.56982532876752
et,raster,2021,3,evening,3,3,95.84856071288117,87.76438088112573
et,raster,2021,3,morning,2,2,99.8014445627464,99.6028891254928
et,raster,2021,4,evening,1,1,86.50398549682023,86.50398549682023
et,raster,2021,4,midday_afternoon,7,5,82.5875514373687,0.5927886967281517
et,raster,2021,4,morning,8,6,77.37942793013151,4.230094098011568
et,raster,2021,5,evening,4,2,82.35878104227217,59.70475669764899
et,raster,2021,5,morning,5,3,68.07746539667923,25.82083968806653
et,raster,2021,6,evening,4,1,53.78334436419096,3.320767747690714
et,raster,2021,6,midday_afternoon,3,2,96.27540694272587,88.82622082817761
et,raster,2021,6,morning,7,6,86.46780976498107,30.997669131823542
et,raster,2022,1,evening,2,1,50.418692987252165,0.8373859745043307
et,raster,2022,2,evening,3,3,99.17700210065898,98.59572386406148
et,raster,2022,2,midday_afternoon,9,7,96.34542890852062,84.38030560271646
et,raster,2022,2,morning,3,3,94.8222113512321,84.4666340536963
et,raster,2022,3,evening,2,2,91.12399643175736,82.85516963540618
et,raster,2022,4,evening,3,2,99.98465271982582,99.95395815947742
et,raster,2022,4,midday_afternoon,12,9,73.89451622495277,2.6272625248194297
et,raster,2022,4,morning,6,6,97.70030598639848,90.82328566084428
et,raster,2022,5,evening,4,1,55.22862651434491,28.804926476935915
et,raster,2022,5,morning,1,1,100.0,100.0
et,raster,2022,6,evening,6,2,36.429647108476495,0.1841673620902995
et,raster,2022,6,midday_afternoon,9,4,63.18667088716872,0.0345313803919311
et,raster,2022,6,morning,7,5,75.98712472816815,5.99982734309804
et,raster,2023,1,evening,2,2,100.0,100.0
et,raster,2023,1,midday_afternoon,1,1,97.33532847975596,97.33532847975596
et,raster,2023,2,evening,3,3,95.17040277018407,85.5112083105522
et,raster,2023,2,midday_afternoon,10,8,90.98932404822884,18.20667031164571
et,raster,2023,2,morning,7,5,75.54767180389464,10.845731058099048
et,raster,2023,3,evening,4,3,65.79163189548501,17.423959022761935
et,raster,2023,3,midday_afternoon,1,1,86.75146038962907,86.75146038962907
et,raster,2023,3,morning,1,0,4.333688239187362,4.333688239187362
et,raster,2023,4,evening,3,3,94.77137348565509,84.83784639290955
et,raster,2023,4,midday_afternoon,13,9,69.9884674043691,0.8863054300595666
et,raster,2023,4,morning,8,7,86.25363298897874,7.838623348968375
et,raster,2023,5,evening,1,1,88.14422606543697,88.14422606543697
et,raster,2023,5,morning,2,1,50.230209202612876,16.192339788783055
et,raster,2023,6,evening,2,0,35.23207965238411,15.23984921297229
et,raster,2023,6,midday_afternoon,10,3,51.686371186624356,7.286121262697476
et,raster,2023,6,morning,10,7,72.95329630801992,0.0374089954245921
et,raster,2024,2,midday_afternoon,2,2,92.30237978763202,84.60475957526403
et,raster,2024,6,midday_afternoon,2,1,55.95666311760812,12.64999568357745
et,raster,2025,1,evening,2,2,100.0,100.0
et,raster,2025,2,midday_afternoon,6,6,95.63369879044247,75.45682138643492
et,raster,2025,2,morning,5,4,84.39181606284713,30.459555120715955
et,raster,2025,3,midday_afternoon,1,1,93.55701994187216,93.55701994187216
et,raster,2025,4,evening,1,1,100.0,100.0
et,raster,2025,4,midday_afternoon,2,2,100.0,100.0
et,raster,2025,4,morning,6,5,97.41782011069226,84.50692066415355
et,raster,2025,5,evening,1,0,0.0057552300653218,0.0057552300653218
et,raster,2025,5,midday_afternoon,2,2,99.7453310696095,99.490662139219
et,raster,2025,6,midday_afternoon,2,1,64.7636039250669,38.75571925987742
et,raster,2025,6,morning,4,3,83.20192224684182,48.76694195850479
ndvi,raster,2019,1,evening,2,2,99.96834623464073,99.94532531437945
ndvi,raster,2019,2,evening,4,2,99.96978504215706,99.93093723921614
ndvi,raster,2019,2,midday_afternoon,36,24,99.96650775836986,99.78130125751775
ndvi,raster,2019,2,morning,8,6,99.97697907973871,99.9194267790855
ndvi,raster,2019,6,evening,6,4,99.89065062875888,99.60864435555813
ndvi,raster,2019,6,midday_afternoon,18,14,99.87018758852663,99.47915167908836
ndvi,raster,2019,6,morning,8,6,99.7848982763086,99.26045293660614
ndvi,raster,2020,1,evening,4,2,99.97841788725503,99.91367154902017
ndvi,raster,2020,2,evening,2,0,100.0,100.0
ndvi,raster,2020,2,midday_afternoon,10,10,99.9482029294121,99.81007740784436
ndvi,raster,2020,3,evening,14,10,99.92929288776891,99.59425628039482
ndvi,raster,2020,4,evening,14,8,99.95128608837567,99.44462029869644
ndvi,raster,2020,4,midday_afternoon,32,26,99.94649434548646,99.44174268366378
ndvi,raster,2020,4,morning,16,10,99.97536042128284,99.83597594313832
ndvi,raster,2020,5,morning,4,2,99.95683577451008,99.82734309804034
ndvi,raster,2020,6,evening,6,6,99.8378943531601,99.16261402549569
ndvi,raster,2020,6,midday_afternoon,26,16,99.92905572169478,99.16261402549569
ndvi,raster,2020,6,morning,18,16,99.99888092748729,99.99424476993468
ndvi,raster,2021,1,evening,4,4,99.7539639147075,99.50792782941498
ndvi,raster,2021,1,midday_afternoon,4,2,99.88129837990273,99.52519351961094
ndvi,raster,2021,2,evening,2,2,100.0,100.0
ndvi,raster,2021,2,midday_afternoon,35,29,99.9436809629322,99.52231590457828
ndvi,raster,2021,2,morning,4,4,99.91726856781099,99.86187447843228
ndvi,raster,2021,3,evening,5,4,99.98791401686282,99.97985669477136
ndvi,raster,2021,3,morning,2,2,99.86906851601393,99.79856694771372
ndvi,raster,2021,4,evening,6,4,99.995683577451,99.97985669477136
ndvi,raster,2021,4,midday_afternoon,22,16,99.99149795558532,99.9107939339875
ndvi,raster,2021,4,morning,24,16,99.99892089436275,99.97410146470604
ndvi,raster,2021,5,evening,16,14,99.99208655866018,99.87914016862824
ndvi,raster,2021,5,morning,10,10,99.9516560674513,99.87914016862824
ndvi,raster,2021,6,evening,8,8,99.9751805703433,99.87626255359558
ndvi,raster,2021,6,midday_afternoon,16,10,99.98237460792495,99.81295502287703
ndvi,raster,2021,6,morning,22,14,99.98325751253725,99.89352824379154
ndvi,raster,2022,1,evening,2,1,99.43454864608213,98.86909729216426
ndvi,raster,2022,1,midday_afternoon,1,0,100.0,100.0
ndvi,raster,2022,2,evening,4,3,99.81079681160254,99.68633996143996
ndvi,raster,2022,2,midday_afternoon,12,11,99.7230295531064,99.499294984317
ndvi,raster,2022,2,morning,3,3,99.6614006311569,99.61439958562345
ndvi,raster,2022,3,evening,3,3,99.74868828714762,99.6834623464073
ndvi,raster,2022,4,evening,12,6,99.95395815947744,99.74676987712584
ndvi,raster,2022,4,midday_afternoon,24,22,99.90324019452679,99.31800523725936
ndvi,raster,2022,4,morning,24,14,99.8268634955349,98.12667261373772
ndvi,raster,2022,5,evening,14,8,99.49086768314992,97.97128140197404
ndvi,raster,2022,5,morning,8,4,99.48814422606544,97.91948433138614
ndvi,raster,2022,6,evening,10,8,99.98935282437915,99.89352824379154
ndvi,raster,2022,6,midday_afternoon,26,24,99.95639306450506,99.69209519150527
ndvi,raster,2022,6,morning,18,12,99.87306520355929,99.08779603464647
ndvi,raster,2023,1,evening,5,3,99.76921527438058,99.41296653333715
ndvi,raster,2023,1,midday_afternoon,2,1,99.7122384967339,99.42447699346782
ndvi,raster,2023,1,morning,1,1,100.0,100.0
ndvi,raster,2023,1,night,7,7,99.95313598375381,99.91367154902017
ndvi,raster,2023,2,evening,1,1,99.3957008431412,99.3957008431412
ndvi,raster,2023,2,midday_afternoon,13,11,99.57389162016368,99.28635147190008
ndvi,raster,2023,2,morning,8,8,99.61296077810711,99.2431872464102
ndvi,raster,2023,3,evening,6,6,99.92326359912903,99.89352824379154
ndvi,raster,2023,3,midday_afternoon,1,1,100.0,100.0
ndvi,raster,2023,3,morning,1,1,99.9050387039222,99.9050387039222
ndvi,raster,2023,4,evening,8,6,99.90791631895485,99.45037552876175
ndvi,raster,2023,4,midday_afternoon,26,22,99.8625385434398,98.81154499151104
ndvi,raster,2023,4,morning,32,22,99.99739216137665,99.97410146470604
ndvi,raster,2023,5,evening,6,4,99.99424476993467,99.96546861960806
ndvi,raster,2023,5,morning,6,4,100.0,100.0
ndvi,raster,2023,6,evening,8,8,99.99964029812092,99.99712238496734
ndvi,raster,2023,6,midday_afternoon,24,16,99.91642926342648,99.13671549020172
ndvi,raster,2023,6,morning,26,22,99.8542377308456,99.35253661765128
ndvi,raster,2023,6,night,2,2,99.99424476993468,99.98848953986936
ndvi,raster,2024,1,evening,4,4,99.4762740640557,99.34678138758596
ndvi,raster,2024,1,midday_afternoon,2,0,100.0,100.0
ndvi,raster,2024,2,evening,1,0,100.0,100.0
ndvi,raster,2024,2,midday_afternoon,8,4,99.8323789243475,99.34678138758596
ndvi,raster,2024,2,morning,2,1,100.0,100.0
ndvi,raster,2024,2,night,1,1,100.0,100.0
ndvi,raster,2024,3,evening,2,1,99.99424476993468,99.98848953986936
ndvi,raster,2024,3,night,4,3,99.92014618284367,99.6978504215706
ndvi,raster,2024,4,midday_afternoon,12,8,99.99520397494557,99.97697907973873
ndvi,raster,2024,4,morning,4,2,99.99424476993468,99.97697907973873
ndvi,raster,2024,5,evening,2,2,99.97985669477137,99.95971338954274
ndvi,raster,2024,5,night,2,2,99.97985669477137,99.95971338954274
ndvi,raster,2024,6,midday_afternoon,8,8,99.97554027222239,99.8676297084976
ndvi,raster,2024,6,morning,12,6,99.99952039749456,99.99424476993468
ndvi,raster,2024,6,night,4,4,99.98848953986936,99.97697907973873
ndvi,raster,2025,1,evening,7,4,99.73238180196253,98.92664959281748
ndvi,raster,2025,1,midday_afternoon,2,2,99.7971281401974,99.72374895686455
ndvi,raster,2025,1,night,6,6,99.4407834786529,97.15403873269834
ndvi,raster,2025,2,midday_afternoon,10,8,99.94446202986964,99.85036401830163
ndvi,raster,2025,2,morning,10,6,99.88806077522949,99.67482950130932
ndvi,raster,2025,3,midday_afternoon,3,3,99.91175313899839,99.85036401830163
ndvi,raster,2025,3,night,2,1,99.6172772006561,99.2345544013122
ndvi,raster,2025,4,evening,2,2,100.0,100.0
ndvi,raster,2025,4,midday_afternoon,10,8,99.93985784581739,99.47627406405572
ndvi,raster,2025,4,morning,14,12,99.86146339057048,99.08779603464647
ndvi,raster,2025,5,evening,6,4,99.99904079498911,99.99712238496734
ndvi,raster,2025,5,midday_afternoon,4,4,100.0,100.0
ndvi,raster,2025,6,evening,2,2,100.0,100.0
ndvi,raster,2025,6,midday_afternoon,14,12,99.98869508380027,99.92230439411816
ndvi,raster,2025,6,morning,18,16,99.85627911586876,99.27196339673678
pet,statistics_csv,2019,1,evening,1,1,99.8149,99.8149
pet,statistics_csv,2019,2,evening,3,2,66.61713333333334,0.3337
pet,statistics_csv,2019,2,midday_afternoon,9,6,68.14961111111111,0.3337
pet,statistics_csv,2019,2,morning,2,2,100.0,100.0
pet,statistics_csv,2019,6,evening,3,0,24.816133333333337,0.1879
pet,statistics_csv,2019,6,midday_afternoon,7,4,64.0648,0.7262000000000001
pet,statistics_csv,2019,6,morning,4,3,74.118175,0.3337
pet,statistics_csv,2020,1,evening,1,1,100.0,100.0
pet,statistics_csv,2020,2,midday_afternoon,3,2,82.0431,49.4126
pet,statistics_csv,2020,3,evening,3,1,28.61163333333333,0.3337
pet,statistics_csv,2020,4,evening,2,2,91.1594,82.31880000000001
pet,statistics_csv,2020,4,midday_afternoon,7,4,58.734657142857145,0.3337
pet,statistics_csv,2020,4,morning,5,5,96.88378,84.4189
pet,statistics_csv,2020,5,morning,1,1,100.0,100.0
pet,statistics_csv,2020,6,evening,2,0,7.946149999999999,4.5591
pet,statistics_csv,2020,6,midday_afternoon,8,2,40.201875,1.0823
pet,statistics_csv,2020,6,morning,5,3,67.1151,0.3337
pet,statistics_csv,2021,1,evening,2,0,12.48,3.7740000000000005
pet,statistics_csv,2021,1,midday_afternoon,1,0,0.3337,0.3337
pet,statistics_csv,2021,2,evening,1,1,100.0,100.0
pet,statistics_csv,2021,2,midday_afternoon,11,10,90.93815454545455,0.3337
pet,statistics_csv,2021,2,morning,3,3,99.5252,98.5756
pet,statistics_csv,2021,3,evening,3,3,95.88486666666667,87.8677
pet,statistics_csv,2021,3,morning,2,2,99.7687,99.53739999999999
pet,statistics_csv,2021,4,evening,1,1,86.47409999999999,86.47409999999999
pet,statistics_csv,2021,4,midday_afternoon,7,5,68.37718571428572,0.3337
pet,statistics_csv,2021,4,morning,8,6,77.4386625,4.2507
pet,statistics_csv,2021,5,evening,4,2,82.361575,59.618700000000004
pet,statistics_csv,2021,5,morning,5,3,68.24002,26.2554
pet,statistics_csv,2021,6,evening,4,1,53.785225,3.3562000000000003
