variable,year,season,season_label,metric,raster_path,observation_count,confidence_level,mean_valid_observations_per_aoi_pixel,mean_pixel_observation_coverage_percent,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
esi,2025,june,Early Growing Season,observation_coverage,data/processed/composites/esi_2025_june_observation_coverage.tif,6,medium,4.623349189758301,77.0558090209961,77.0558090209961,83.33332824707031,50.0,100.0,13.903949737548828,50.0,66.66667175292969,83.33332824707031,100.0,34751,34751,34751,94839,100.0,100.0
pet,2019,june,Early Growing Season,observation_coverage,data/processed/composites/pet_2019_june_observation_coverage.tif,14,medium,8.201691627502441,58.58351516723633,58.58351516723633,57.142860412597656,28.571430206298828,78.57142639160156,9.521788597106934,42.85714340209961,50.0,64.28571319580078,71.42857360839844,34751,34751,34751,94839,100.0,100.0
pet,2020,june,Early Growing Season,observation_coverage,data/processed/composites/pet_2020_june_observation_coverage.tif,15,higher,6.717792510986328,44.785282135009766,44.785282135009766,46.66666793823242,20.0,73.33333587646484,9.858160972595215,26.666667938232422,40.0,53.333335876464844,60.000003814697266,34751,34751,34751,94839,100.0,100.0
pet,2021,june,Early Growing Season,observation_coverage,data/processed/composites/pet_2021_june_observation_coverage.tif,14,medium,10.094932556152344,72.10665893554688,72.10665893554688,71.42857360839844,42.85714340209961,85.71428680419922,6.930328845977783,57.142860412597656,64.28571319580078,78.57142639160156,78.57142639160156,34751,34751,34751,94839,100.0,100.0
pet,2022,june,Early Growing Season,observation_coverage,data/processed/composites/pet_2022_june_observation_coverage.tif,22,higher,13.191678047180176,59.9621696472168,59.9621696472168,59.09090805053711,31.81818199157715,72.7272720336914,6.895545959472656,45.45454788208008,54.54545593261719,63.6363639831543,68.18181610107422,34751,34751,34751,94839,100.0,100.0
pet,2023,june,Early Growing Season,observation_coverage,data/processed/composites/pet_2023_june_observation_coverage.tif,22,higher,12.181807518005371,55.37185287475586,55.37185287475586,59.09090805053711,18.18181800842285,81.81818389892578,12.444293975830078,27.272727966308594,50.0,63.6363639831543,72.7272720336914,34751,34751,34751,94839,100.0,100.0
pet,2024,june,Early Growing Season,observation_coverage,data/processed/composites/pet_2024_june_observation_coverage.tif,2,low,1.1191332340240479,55.956661224365234,55.956661224365234,50.0,0.0,100.0,17.234460830688477,50.0,50.0,50.0,100.0,34751,34751,34751,94839,100.0,100.0
pet,2025,june,Early Growing Season,observation_coverage,data/processed/composites/pet_2025_june_observation_coverage.tif,6,medium,4.623349189758301,77.0558090209961,77.0558090209961,83.33332824707031,50.0,100.0,13.903949737548828,50.0,66.66667175292969,83.33332824707031,100.0,34751,34751,34751,94839,100.0,100.0
wue,2019,june,Early Growing Season,observation_coverage,data/processed/composites/wue_2019_june_observation_coverage.tif,14,medium,5.633478164672852,40.23912811279297,40.23912811279297,42.85714340209961,0.0,78.57142639160156,18.998933792114258,0.0,28.571430206298828,57.142860412597656,71.42857360839844,34751,34751,34751,94839,100.0,100.0
wue,2020,june,Early Growing Season,observation_coverage,data/processed/composites/wue_2020_june_observation_coverage.tif,15,higher,6.018100261688232,40.120670318603516,40.120670318603516,40.0,6.6666669845581055,66.66667175292969,10.43410587310791,20.0,33.333335876464844,46.66666793823242,53.333335876464844,34751,34751,34751,94839,100.0,100.0
wue,2021,june,Early Growing Season,observation_coverage,data/processed/composites/wue_2021_june_observation_coverage.tif,14,medium,8.00733757019043,57.195274353027344,57.195274353027344,64.28571319580078,0.0,85.71428680419922,18.279329299926758,21.428571701049805,42.85714340209961,71.42857360839844,78.57142639160156,34751,34751,34751,94839,100.0,100.0
wue,2022,june,Early Growing Season,observation_coverage,data/processed/composites/wue_2022_june_observation_coverage.tif,22,higher,12.954418182373047,58.88372039794922,58.88372039794922,59.09090805053711,13.636363983154297,72.7272720336914,7.425597190856934,45.45454788208008,54.54545593261719,63.6363639831543,68.18181610107422,34751,34751,34751,94839,100.0,100.0
wue,2023,june,Early Growing Season,observation_coverage,data/processed/composites/wue_2023_june_observation_coverage.tif,22,higher,11.556242942810059,52.52838134765625,52.52838134765625,54.54545593261719,4.545454502105713,81.81818389892578,13.179740905761719,27.272727966308594,45.45454788208008,63.6363639831543,68.18181610107422,34751,34751,34751,94839,100.0,100.0
wue,2024,june,Early Growing Season,observation_coverage,data/processed/composites/wue_2024_june_observation_coverage.tif,2,low,0.5678110122680664,28.39055061340332,28.39055061340332,50.0,0.0,100.0,29.281089782714844,0.0,0.0,50.0,50.0,34751,34751,34751,94839,100.0,100.0
wue,2025,june,Early Growing Season,observation_coverage,data/processed/composites/wue_2025_june_observation_coverage.tif,6,medium,4.409052848815918,73.48420715332031,73.48420715332031,66.66667175292969,0.0,100.0,15.962932586669922,50.0,66.66667175292969,83.33332824707031,100.0,34751,34751,34751,94839,100.0,100.0
