variable,year,season,season_label,created,observation_count,confidence_level,mean_valid_observations_per_aoi_pixel,mean_pixel_observation_coverage_percent
ndvi,2019,apr_jun,April–June available observation window,True,32,higher,23.973583221435547,74.9174575805664
ndvi,2020,apr_jun,April–June available observation window,True,116,higher,84.02489471435547,72.43526458740234
ndvi,2021,apr_jun,April–June available observation window,True,124,higher,92.0658950805664,74.24669647216797
ndvi,2022,apr_jun,April–June available observation window,True,136,higher,97.8806381225586,71.9710693359375
ndvi,2023,apr_jun,April–June available observation window,True,138,higher,105.9804916381836,76.7974624633789
ndvi,2024,apr_jun,April–June available observation window,True,44,higher,32.02699279785156,72.78863525390625
ndvi,2025,apr_jun,April–June available observation window,True,70,higher,59.97298049926758,85.67567443847656
et,2019,apr_jun,April–June available observation window,True,13,medium,8.199102401733398,63.07001876831055
et,2020,apr_jun,April–June available observation window,True,30,higher,18.495899200439453,61.65300369262695
et,2021,apr_jun,April–June available observation window,True,39,higher,28.63226890563965,73.41608428955078
et,2022,apr_jun,April–June available observation window,True,48,higher,33.1323127746582,69.02565002441406
et,2023,apr_jun,April–June available observation window,True,49,higher,32.909786224365234,67.16282653808594
et,2024,apr_jun,April–June available observation window,True,2,low,1.1191332340240479,55.956661224365234
et,2025,apr_jun,April–June available observation window,True,18,higher,14.465971946716309,80.36651611328125
esi,2019,apr_jun,April–June available observation window,True,14,medium,8.201691627502441,58.58351516723633
esi,2020,apr_jun,April–June available observation window,True,30,higher,18.495899200439453,61.65300369262695
esi,2021,apr_jun,April–June available observation window,True,39,higher,28.63226890563965,73.41608428955078
esi,2022,apr_jun,April–June available observation window,True,48,higher,33.1323127746582,69.02565002441406
esi,2023,apr_jun,April–June available observation window,True,49,higher,32.909786224365234,67.16282653808594
esi,2024,apr_jun,April–June available observation window,True,2,low,1.1191332340240479,55.956661224365234
esi,2025,apr_jun,April–June available observation window,True,18,higher,14.465971946716309,80.36651611328125
