variable,year,season,season_label,metric,label,raster_path,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
esi,2019,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2019_june_raw_anomaly.tif,0.05211548134684563,0.09603118896484375,-0.30157577991485596,0.45069873332977295,0.12965905666351318,-0.17097368836402893,-0.06485898047685623,0.15339654684066772,0.22182634472846985,34751,34751,34751,94839,100.0,100.0
esi,2019,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2019_june_standardized_anomaly.tif,0.28110191226005554,0.9289377927780151,-2.4418227672576904,2.3409528732299805,1.1917461156845093,-1.9696117639541626,-0.8091658353805542,1.198559284210205,1.4674632549285889,34743,34743,34751,94839,99.97697907973871,99.97697907973871
esi,2020,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2020_june_raw_anomaly.tif,-0.03572176769375801,-0.026899099349975586,-0.5601507425308228,0.30627161264419556,0.0880950465798378,-0.18930569291114807,-0.08948174118995667,0.024892836809158325,0.09190380573272705,34751,34751,34751,94839,100.0,100.0
esi,2020,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2020_june_standardized_anomaly.tif,-0.3838512599468231,-0.26928165555000305,-2.4371490478515625,2.106022357940674,0.8216685056686401,-1.8575986623764038,-0.9732469320297241,0.21014277637004852,0.8761392831802368,34743,34743,34751,94839,99.97697907973871,99.97697907973871
esi,2021,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2021_june_raw_anomaly.tif,0.029785405844449997,0.040744125843048096,-0.4674679636955261,0.23724627494812012,0.06831254065036774,-0.09386983513832092,-0.0004190802574157715,0.07308673858642578,0.11750218272209167,34751,34751,34751,94839,100.0,100.0
esi,2021,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2021_june_standardized_anomaly.tif,0.3459504246711731,0.404294490814209,-2.4494898319244385,2.361806631088257,0.6068546772003174,-0.7402536273002625,-0.003821468912065029,0.749500572681427,1.2333632707595825,34743,34743,34751,94839,99.97697907973871,99.97697907973871
esi,2022,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2022_june_raw_anomaly.tif,-0.033202625811100006,-0.03397470712661743,-0.3313587009906769,0.21661591529846191,0.07914087176322937,-0.16399860382080078,-0.08913680911064148,0.02508378028869629,0.09333261847496033,34751,34751,34751,94839,100.0,100.0
esi,2022,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2022_june_standardized_anomaly.tif,-0.24522289633750916,-0.3213539719581604,-2.363631248474121,2.347717761993408,0.7337400913238525,-1.3832625150680542,-0.7715033292770386,0.27707457542419434,1.016383171081543,34743,34743,34751,94839,99.97697907973871,99.97697907973871
esi,2023,june,Early Growing Season,raw_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2023_june_raw_anomaly.tif,-0.056090813130140305,-0.05491471290588379,-0.41239452362060547,0.18685227632522583,0.07860568910837173,-0.1820717453956604,-0.10778933763504028,-0.002049475908279419,0.0686706006526947,34751,34751,34751,94839,100.0,100.0
esi,2023,june,Early Growing Season,standardized_anomaly,short-window anomaly baseline,data/processed/anomalies/esi_2023_june_standardized_anomaly.tif,-0.4798853397369385,-0.5351333618164062,-2.3365180492401123,2.288759231567383,0.6816661953926086,-1.5281529426574707,-0.9688416719436646,-0.02177557721734047,0.7228776216506958,34743,34743,34751,94839,99.97697907973871,99.97697907973871
